,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
IL4_5,0.666666667,0,0,0.333333333,1.333333333,1.333333333,0,11.33333333,26,0,0,0,0,0,0,0,3,0.333333333,24.33333333,0,0,0,0.333333333,0,0,0,0,0,0,0,6,0,0,0,0,0
IL4_7,1.666666667,0,0,0,5.666666667,2.333333333,0,19.66666667,29,0,0,0,0,0,0,0,2,1,15,0,0,0.333333333,0,0,0,0,0,0,0,0,2.333333333,0,0,0,0,7
IL4_8,0,0,0,0.666666667,0.333333333,0,0,11,2,0,0,0,0,0,0,0,0.666666667,0,0,8.666666667,0,0.333333333,0,0,0.333333333,0,11.33333333,0,0,0,0,0,0,0,0,0
IL4_9,1,0,0,0.333333333,2.666666667,1.333333333,0,7.333333333,19.33333333,0,0,0,0,0,0,0,1,0,36,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,8,0,0,0,0,0
M1_1,0,1.666666667,0,0,0.666666667,7,0,15.66666667,0.666666667,2.333333333,0,0,0,0,0.666666667,0.666666667,0,0,0,0,1.666666667,0,0,0,0,0,0,0,1.333333333,0,26,0,6.333333333,0,0,0
M1_10,0,0.666666667,0,0,0,0,0,9,0,1.333333333,0.333333333,0,0.333333333,0,2.333333333,0.666666667,0,0,0,0,0,0,4.666666667,0,0,0,0,0,1,0,44,0,4.333333333,0,0,0
M1_2,1,0.666666667,0,2.333333333,3.666666667,0,0,14,2.666666667,0,0,0,0,0,1.333333333,0.666666667,0.666666667,0,6,0,3.666666667,0,0.333333333,0,0,0,0,0,0.666666667,0,23.66666667,0,9.333333333,0,0,0
M1_4,0,4.666666667,0,0.333333333,1.333333333,0,0,14,5.666666667,0.333333333,0,0,0,0,0,1,0,0,0,0,0.666666667,0,2,0,0,0,0,0,1,0,25,0.666666667,10.66666667,0,0,0
M1_5,1,0.333333333,0,1,5.333333333,1.666666667,0,14.33333333,24,0.666666667,0.333333333,0,0,0,0,0.666666667,0,0,4.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,26.33333333,0,0,0,0,0
M1_6,0,2,0,0,0,8.333333333,0.666666667,20.66666667,15.66666667,1.666666667,0,0,0,0,0,1,0,0,0,0,0.333333333,0,3.333333333,0,0,0,0,0,0.666666667,0,21,0,3.666666667,0,0,0
