id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS39P,8,19,Bw,5YR,5,6,5YR,4,6,LS,85,VF ,10,8.1,VE,0.09883122,0.05656743,4.226379012,2
CLHS39P,19,19,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS40P,0,7,A,7.5YR,6,4,5YR,3,3,VFSL,72,VF,12,7.8,NE,0.162125525,0.069310628,9.281489696,1
CLHS40P,7,23,BA,5YR,5,6,5YR,4,3,VFSL,67,VF,15,8,ST,0.184794501,0.082339036,10.24554657,2
CLHS40P,23,82,Bk,7.5YR,7,4,5YR,4,4,VFSL,74,VF,10,8.1,VE,0.14689953,0.061269411,8.563011873,3
CLHS40P,82,122,Bkk,7.5YR,7,3,7.5YR,5,4,FSL,80,F,10,8.4,VE,0.120922531,0.055689319,6.523321172,4
CLHS40P,122,122,Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
CLHS41P,0,8,A,7.5YR,7,4,7.5YR,4,6,LS,85,VF,5,8,ST,0.070626535,0.045199005,2.542753,1
CLHS41P,8,39,Bw1,7.5YR,7,4,7.5YR,5,6,LS,80,VF,8,8.2,VE,0.109640891,0.050402787,5.923810471,2
CLHS41P,39,112,Bw2,7.5YR,7,4,7.5YR,4,6,SL,75,VF,10,8.3,VE,0.142929541,0.060082649,8.284689241,3
CLHS41P,112,151,Bk,7.5YR,7,4,7.5YR,5,6,SL,75,VF,10,8.6,VE,0.142929541,0.060082649,8.284689241,4
CLHS42P,0,6,A,5YR,6,4,5YR,3,3,VFSL,77,VF,9,8,VS,0.129462962,0.055123567,7.433939462,1
CLHS42P,6,31,ABk,5YR,5,4,5YR,3,4,VFSL,70,VF,13,8.2,VE,0.171474793,0.074255732,9.721906099,2
CLHS42P,31,58,Cr,7.5YR,7,4,7.5YR,5,4,LFS,85,F,6,8.3,VE,0.075697345,0.047402795,2.829454983,3
CLHS43P,0,5,A,5YR,5,4,5YR,3,3,VFSL,70,VF,12,8,NE,0.167856754,0.071423555,9.643319988,1
CLHS43P,5,29,Bt,5YR,4,6,5YR,3,4,VFSL,56,VF,19,8.1,NE,0.210331507,0.09487617,11.54553373,2
CLHS43P,29,59,Bk,5YR,6,6,5YR,4,4,VFSL,60,VF,19,8.2,ST,0.206016195,0.095522047,11.04941488,3
CLHS43P,59,106,Bkk,5YR,8,2,5YR,5,4,VFSL,67,VF,16,8.3,VE,0.188130693,0.085238046,10.28926464,4
CLHS43P,106,154,BkC,5YR,6,4,5YR,5,6,FSL,76,F,9,8.6,VE,0.134006102,0.056152151,7.785395072,5
CLHS44P,0,7,A,5YR,7,4,5YR,5,6,LS,80,VF,5,8,VS,0.093772599,0.042975928,5.079667113,1
CLHS44P,7,35,Bw,5YR,5,6,5YR,4,6,LS,85,VF,9,8,VS,0.092617384,0.054223907,3.839347706,2
CLHS44P,35,104,Bk,5YR,6,6,5YR,4,6,LS,85,VF,7,8.5,VE,0.081049151,0.049641242,3.140790895,3
CLHS44P,104,126,C,5YR,8,3,5YR,5,6,LS,85,F,4,8.5,VE,0.065823054,0.043023621,2.27994333,4
CLHS45P,0,14,A,7.5YR,6,4,7.5YR,4,4,LS,85,VF ,4,8,VE,0.065823054,0.043023621,2.27994333,1
CLHS45P,14,37,Bw1,7.5YR,6,4,7.5YR,4,6,S,90,VF ,4,8.2,VE,0.056353114,0.049268856,0.708425839,2
CLHS45P,37,81,Bw2,7.5YR,6,4,7.5YR,4,6,S,95,F,3,8.2,VE,0.054755763,0.053520169,0.123559336,3
CLHS45P,81,104,Bw3,7.5YR,6,4,7.5YR,4,6,S,90,F,4,8.3,VE,0.056353114,0.049268856,0.708425839,4
CLHS46P,0,5,A,7.5YR,6,4,7.5YR,4,3,SL,75,VF,6,8,VE,0.125260981,0.049269203,7.599177745,1
CLHS46P,5,37,Bk1,7.5YR,6,4,7.5YR,4,4,FLS,85,F,5,8.2,VE,0.070626535,0.045199005,2.542753,2
CLHS46P,37,50,Bk2,7.5YR,7,4,7.5YR,4,4,FLS,85,F,4,8.2,VE,0.065823054,0.043023621,2.27994333,3
CLHS46P,50,66,C1,7.5YR,8,4,7.5YR,6,6,LS,90,M,4,8.2,VE,0.056353114,0.049268856,0.708425839,4
CLHS46P,66,82,C2,7.5YR,8,4,7.5YR,5,6,S,97,CO,3,8.2,VE,0.056536631,0.055880027,0.0656604,5
CLHS46P,82,99,C3,7.5YR,8,4,7.5YR,6,4,S,97,M,3,8.2,VE,0.056536631,0.055880027,0.0656604,6
CLHS47P,0,6,A,10YR,6,6,10YR,3,4,VFSL,75,VF,7,8.1,ST,0.129567114,0.051883922,7.768319141,1
